,band,species,beak length (mm),beak depth (mm),year
1147,15385,fortis,11.1,9.8,1991
1148,15389,fortis,10.83,9.1,1991
1149,15392,fortis,11.64,10.51,1991
1150,15396,fortis,10.63,9.27,1991
1151,15402,fortis,9.99,8.36,1991
1152,15408,fortis,11.2,9.15,1991
1153,15412,fortis,10.5,9.07,1991
1154,15428,fortis,11.15,9.3,1991
1155,15431,fortis,11.29,8.91,1991
1156,15444,fortis,12.85,10.35,1991
1157,15464,fortis,9.45,8.65,1991
1158,15471,fortis,11.6,10.35,1991
1159,15478,fortis,11.1,9.77,1991
1160,15484,fortis,9.7,7.45,1991
1161,15601,fortis,10.9,9.2,1991
1162,15607,fortis,11.0,9.7,1991
1163,15621,fortis,11.6,9.8,1991
1164,15648,fortis,10.9,9.5,1991
1165,15650,fortis,11.06,9.93,1991
1166,15651,fortis,12.8,11.2,1991
1167,15659,fortis,11.04,8.91,1991
1168,15665,fortis,11.14,9.91,1991
1169,15667,fortis,10.84,9.62,1991
1170,15679,fortis,10.0,8.4,1991
1171,15681,fortis,12.29,10.06,1991
1172,15695,fortis,9.5,7.5,1991
1173,15702,fortis,11.7,10.5,1991
1174,15706,fortis,10.0,8.5,1991
1175,15726,fortis,9.04,7.42,1991
1176,15727,fortis,11.0,9.25,1991
1177,15734,fortis,10.9,9.5,1991
1178,15757,fortis,10.57,8.7,1991
1179,15761,fortis,11.3,8.6,1991
1180,15779,fortis,9.74,7.86,1991
1181,15788,fortis,10.75,9.35,1991
1182,15822,fortis,10.49,9.07,1991
1183,15830,fortis,12.27,10.33,1991
1184,15838,fortis,11.1,9.4,1991
1185,15840,fortis,10.85,9.55,1991
1186,15845,fortis,10.4,8.4,1991
1187,15854,fortis,10.64,8.91,1991
1188,15857,fortis,11.94,9.76,1991
1189,15863,fortis,11.69,9.07,1991
1190,15873,fortis,10.0,8.0,1991
1191,15885,fortis,10.8,9.5,1991
1192,15897,fortis,11.6,10.1,1991
1193,15914,fortis,9.24,7.81,1991
1194,15915,fortis,10.74,8.31,1991
1195,15920,fortis,11.44,10.11,1991
1196,15929,fortis,11.6,9.45,1991
1197,15930,fortis,12.05,9.77,1991
1198,15934,fortis,11.14,9.11,1991
1199,15939,fortis,10.5,9.5,1991
1200,15944,fortis,10.8,8.3,1991
1201,15948,fortis,11.6,10.8,1991
1202,15950,fortis,10.6,9.35,1991
1203,15951,fortis,11.5,10.0,1991
1204,15970,fortis,9.83,8.5,1991
1205,15973,fortis,10.19,8.06,1991
1206,15977,fortis,9.84,8.32,1991
1207,15978,fortis,10.39,8.76,1991
1208,15979,fortis,11.04,9.82,1991
1209,15983,fortis,10.54,8.71,1991
1210,15995,fortis,9.94,8.52,1991
1211,16007,fortis,10.04,8.22,1991
1212,16016,fortis,9.97,8.8,1991
1213,16024,fortis,9.0,7.4,1991
1214,16027,fortis,10.25,8.0,1991
1215,16028,fortis,11.1,9.65,1991
1216,16044,fortis,10.75,8.9,1991
1217,16091,fortis,9.33,7.7,1991
1218,16093,fortis,10.5,8.4,1991
1219,16095,fortis,10.0,8.15,1991
1220,16096,fortis,10.6,8.8,1991
1221,16135,fortis,11.5,9.4,1991
1222,16141,fortis,11.6,10.6,1991
1223,16143,fortis,11.4,10.1,1991
1224,16144,fortis,11.3,10.4,1991
1225,16145,fortis,10.8,9.4,1991
1226,16146,fortis,11.2,10.1,1991
1227,16148,fortis,10.8,9.5,1991
1228,16149,fortis,11.5,9.8,1991
1229,16150,fortis,11.65,10.3,1991
1230,16165,fortis,9.7,8.0,1991
1231,16167,fortis,10.55,8.85,1991
1232,16173,fortis,11.13,9.7,1991
1233,16176,fortis,10.9,9.6,1991
1234,16184,fortis,11.05,9.25,1991
1235,16190,fortis,10.7,9.2,1991
1236,16197,fortis,10.7,9.2,1991
1237,16301,fortis,10.4,9.1,1991
1238,16306,fortis,11.3,10.2,1991
1239,16309,fortis,10.9,8.6,1991
1240,16310,fortis,11.0,9.0,1991
1241,16315,fortis,10.9,8.8,1991
1242,16316,fortis,10.8,8.1,1991
1243,16317,fortis,10.2,8.2,1991
1244,16319,fortis,10.8,9.0,1991
1245,16331,fortis,10.9,9.8,1991
1246,16333,fortis,10.2,9.1,1991
1247,16336,fortis,12.5,9.9,1991
1248,16337,fortis,11.3,9.2,1991
1249,16341,fortis,10.3,9.5,1991
1250,16344,fortis,9.4,8.5,1991
1251,16356,fortis,11.05,9.4,1991
1252,16360,fortis,10.7,9.4,1991
1253,16367,fortis,9.7,8.6,1991
1254,16374,fortis,10.6,9.0,1991
1255,16378,fortis,11.55,9.8,1991
1256,16380,fortis,11.0,9.2,1991
1257,16385,fortis,10.8,8.8,1991
1258,16386,fortis,9.53,8.27,1991
1259,16387,fortis,11.9,10.3,1991
1260,16391,fortis,10.6,9.2,1991
1261,16394,fortis,10.8,9.6,1991
1262,16395,fortis,11.05,9.8,1991
1263,16396,fortis,12.5,10.3,1991
1264,16398,fortis,12.1,9.8,1991
1265,16507,fortis,10.9,10.1,1991
1266,16511,fortis,10.7,9.3,1991
1267,16514,fortis,10.8,9.5,1991
1268,16518,fortis,12.0,10.0,1991
1269,16531,fortis,11.65,9.95,1991
1270,16549,fortis,10.6,9.0,1991
1271,16550,fortis,10.75,9.05,1991
1272,16551,fortis,11.1,9.0,1991
1273,16553,fortis,10.9,9.2,1991
1274,16554,fortis,10.9,10.4,1991
1275,16559,fortis,11.3,9.9,1991
1276,16560,fortis,11.6,9.6,1991
1277,16564,fortis,12.1,10.3,1991
1278,16565,fortis,12.1,10.0,1991
1279,16566,fortis,12.0,10.2,1991
1280,16575,fortis,11.6,10.5,1991
1281,16579,fortis,11.8,10.4,1991
1282,16580,fortis,11.3,9.3,1991
1283,16583,fortis,10.3,8.5,1991
1284,16590,fortis,9.6,7.7,1991
1285,16594,fortis,11.5,9.9,1991
1286,16595,fortis,11.9,10.3,1991
1287,16596,fortis,11.8,10.5,1991
1288,16597,fortis,10.1,8.8,1991
1289,16598,fortis,9.9,8.8,1991
1290,16803,fortis,12.1,9.85,1991
1291,16805,fortis,11.3,9.5,1991
1292,16807,fortis,9.7,7.5,1991
1293,16808,fortis,11.15,9.45,1991
1294,16810,fortis,10.65,9.1,1991
1295,16811,fortis,9.9,7.5,1991
1296,16815,fortis,10.3,8.9,1991
1297,16816,fortis,11.4,9.8,1991
1298,16817,fortis,11.7,9.7,1991
1299,16818,fortis,11.3,10.1,1991
1300,16833,fortis,11.8,9.4,1991
1301,16834,fortis,11.55,9.0,1991
1302,16836,fortis,12.3,9.9,1991
1303,16840,fortis,10.9,9.0,1991
1304,16851,fortis,10.3,8.6,1991
1305,16858,fortis,11.5,9.4,1991
1306,16859,fortis,10.4,8.65,1991
1307,16861,fortis,10.1,8.7,1991
1308,16869,fortis,11.75,9.65,1991
1309,16875,fortis,10.1,8.1,1991
1310,16889,fortis,9.55,7.8,1991
1311,16891,fortis,9.7,8.0,1991
1312,16895,fortis,10.0,8.3,1991
1313,17010,fortis,11.3,8.9,1991
1314,17013,fortis,11.0,9.3,1991
1315,17014,fortis,10.0,8.2,1991
1316,17033,fortis,10.6,9.3,1991
1317,17037,fortis,10.77,9.03,1991
1318,17048,fortis,10.0,8.3,1991
1319,17057,fortis,12.3,10.1,1991
1320,17061,fortis,10.7,10.0,1991
1321,17063,fortis,9.85,8.6,1991
1322,17067,fortis,10.8,9.1,1991
1323,17070,fortis,10.6,9.2,1991
1324,17073,fortis,10.6,8.53,1991
1325,17075,fortis,10.7,9.0,1991
1326,17083,fortis,10.4,9.6,1991
1327,17095,fortis,10.7,8.9,1991
1328,17109,fortis,10.0,9.0,1991
1329,17111,fortis,9.7,8.7,1991
1330,17113,fortis,9.7,8.6,1991
1331,17114,fortis,10.5,8.6,1991
1332,17116,fortis,10.7,9.3,1991
1333,17136,fortis,11.0,9.1,1991
1334,17145,fortis,11.0,9.9,1991
1335,17160,fortis,10.9,9.3,1991
1336,17168,fortis,10.7,8.3,1991
1337,17179,fortis,9.73,8.37,1991
1338,17188,fortis,9.0,7.9,1991
1339,17301,fortis,9.4,9.2,1991
1340,17307,fortis,8.8,8.0,1991
1341,17310,fortis,8.9,7.9,1991
1342,17311,fortis,10.8,8.7,1991
1343,17315,fortis,11.3,9.0,1991
1344,17344,fortis,10.6,9.6,1991
1345,17360,fortis,11.1,9.8,1991
1346,17367,fortis,12.0,10.2,1991
1347,17369,fortis,13.0,11.2,1991
1348,17379,fortis,10.6,8.6,1991
1349,17380,fortis,11.85,9.2,1991
1350,17381,fortis,10.9,8.5,1991
1351,17384,fortis,11.5,10.3,1991
1352,17386,fortis,11.1,9.9,1991
1353,17388,fortis,11.9,10.2,1991
1354,17395,fortis,11.7,10.0,1991
1355,17403,fortis,9.7,8.0,1991
1356,17410,fortis,11.8,10.4,1991
1357,17411,fortis,10.0,9.1,1991
1358,17415,fortis,10.13,8.7,1991
1359,17416,fortis,10.7,9.1,1991
1360,17418,fortis,10.8,8.9,1991
1361,17419,fortis,10.6,9.0,1991
1362,17436,fortis,10.7,8.3,1991
1363,17439,fortis,11.4,9.7,1991
1364,17440,fortis,11.1,9.2,1991
1365,17443,fortis,11.0,8.8,1991
1366,17460,fortis,11.47,10.0,1991
1367,17461,fortis,10.2,9.0,1991
1368,17464,fortis,11.0,9.7,1991
1369,17466,fortis,10.6,9.6,1991
1370,17467,fortis,11.7,9.5,1991
1371,17468,fortis,10.7,8.8,1991
1372,17480,fortis,9.8,7.5,1991
1373,17483,fortis,10.1,7.8,1991
1374,17485,fortis,10.9,9.0,1991
1375,17490,fortis,10.7,9.9,1991
1376,17491,fortis,10.6,8.9,1991
1377,17493,fortis,11.6,10.5,1991
1378,17494,fortis,11.9,10.7,1991
1379,17496,fortis,12.4,10.0,1991
1380,17497,fortis,11.0,9.0,1991
1381,17498,fortis,10.6,9.7,1991
1382,17500,fortis,10.0,8.9,1991
1383,17503,fortis,9.8,7.9,1991
1384,17534,fortis,10.15,8.95,1991
1385,17551,fortis,9.3,7.7,1991
1386,17559,fortis,11.8,9.8,1991
1387,17568,fortis,10.8,8.9,1991
1388,17573,fortis,9.9,9.0,1991
1389,17583,fortis,9.9,8.4,1991
1390,17589,fortis,11.5,10.4,1991
1391,17603,fortis,10.5,9.17,1991
1392,17605,fortis,11.2,9.1,1991
1393,17615,fortis,12.4,9.4,1991
1394,17617,fortis,10.1,8.2,1991
1395,17618,fortis,10.85,8.1,1991
1396,17634,fortis,10.75,8.85,1991
1397,17638,fortis,8.9,6.9,1991
1398,17639,fortis,10.0,8.9,1991
1399,17641,fortis,11.2,9.5,1991
1400,17643,fortis,11.0,8.7,1991
1401,17646,fortis,12.3,9.9,1991
1402,17647,fortis,11.6,10.2,1991
1403,17648,fortis,11.1,9.4,1991
1404,17649,fortis,11.7,10.6,1991
1405,17653,fortis,11.0,8.4,1991
1406,17654,fortis,10.8,8.6,1991
1407,17656,fortis,9.5,8.2,1991
1408,17659,fortis,10.8,8.8,1991
1409,17664,fortis,10.5,9.2,1991
1410,17665,fortis,9.5,8.1,1991
1411,17666,fortis,11.7,10.5,1991
1412,17668,fortis,11.0,9.5,1991
1413,17677,fortis,10.6,9.0,1991
1414,17693,fortis,10.5,8.8,1991
1415,17696,fortis,11.1,10.1,1991
1416,17697,fortis,10.9,9.6,1991
1417,17698,fortis,10.7,9.6,1991
1418,17699,fortis,10.8,9.5,1991
1419,17717,fortis,11.55,9.65,1991
1420,17733,fortis,10.7,9.4,1991
1421,17734,fortis,11.3,10.0,1991
1422,17735,fortis,10.6,8.8,1991
1423,17738,fortis,10.4,9.9,1991
1424,17740,fortis,10.7,8.7,1991
1425,17754,fortis,9.8,9.0,1991
1426,17759,fortis,11.6,9.7,1991
1427,17768,fortis,10.1,8.4,1991
1428,17771,fortis,11.7,9.8,1991
1429,17786,fortis,11.7,9.6,1991
1430,17791,fortis,10.8,9.8,1991
1431,17797,fortis,10.3,8.5,1991
1432,17798,fortis,10.65,8.85,1991
1433,17800,fortis,10.8,8.9,1991
1434,17803,fortis,10.7,9.2,1991
1435,17907,fortis,10.7,9.0,1991
1436,17908,fortis,10.2,8.8,1991
1437,17916,fortis,9.7,7.4,1991
1438,17934,fortis,10.4,8.7,1991
1439,17936,fortis,11.5,9.0,1991
1440,17940,fortis,11.1,9.8,1991
1441,17954,fortis,10.3,9.2,1991
1442,17955,fortis,11.5,10.0,1991
1443,17964,fortis,10.9,9.5,1991
1444,17969,fortis,9.9,8.8,1991
1445,17971,fortis,10.8,8.8,1991
1446,17974,fortis,10.1,9.0,1991
1447,17983,fortis,10.9,9.0,1991
1448,17986,fortis,11.2,9.0,1991
1449,17991,fortis,12.7,10.65,1991
1450,17993,fortis,11.8,10.5,1991
1451,17999,fortis,11.5,9.5,1991
1452,2760,scandens,14.2,9.25,1991
1453,3425,scandens,14.9,8.8,1991
1454,4090,scandens,14.95,9.26,1991
1455,4137,scandens,15.8,10.0,1991
1456,4223,scandens,15.07,8.77,1991
1457,4683,scandens,13.6,9.13,1991
1458,4706,scandens,14.8,9.5,1991
1459,4778,scandens,13.7,9.3,1991
1460,5351,scandens,13.6,8.95,1991
1461,5582,scandens,15.07,8.87,1991
1462,5608,scandens,15.8,9.7,1991
1463,5656,scandens,14.9,9.7,1991
1464,10001,scandens,13.43,8.41,1991
1465,10002,scandens,14.64,9.21,1991
1466,10061,scandens,15.2,9.6,1991
1467,10105,scandens,14.9,9.4,1991
1468,10174,scandens,15.2,9.25,1991
1469,10206,scandens,13.43,9.3,1991
1470,10223,scandens,15.2,9.8,1991
1471,10268,scandens,14.53,9.43,1991
1472,10394,scandens,12.07,9.0,1991
1473,10740,scandens,14.75,9.3,1991
1474,13256,scandens,15.35,9.85,1991
1475,13257,scandens,14.47,9.62,1991
1476,13548,scandens,14.3,9.0,1991
1477,14208,scandens,12.73,9.52,1991
1478,14524,scandens,15.3,9.9,1991
1479,14576,scandens,13.8,8.6,1991
1480,14584,scandens,15.04,9.21,1991
1481,14646,scandens,14.3,9.38,1991
1482,14728,scandens,14.29,9.37,1991
1483,14731,scandens,14.04,9.02,1991
1484,14755,scandens,13.6,8.9,1991
1485,14758,scandens,13.84,8.91,1991
1486,14759,scandens,14.04,9.06,1991
1487,14786,scandens,13.7,8.4,1991
1488,14830,scandens,14.7,8.7,1991
1489,14834,scandens,13.75,8.7,1991
1490,14835,scandens,14.09,8.91,1991
1491,14847,scandens,15.3,10.1,1991
1492,14877,scandens,15.2,10.27,1991
1493,14946,scandens,14.9,9.65,1991
1494,14975,scandens,13.95,9.28,1991
1495,14995,scandens,14.2,9.2,1991
1496,15235,scandens,14.04,7.96,1991
1497,15237,scandens,13.0,8.3,1991
1498,15406,scandens,14.2,8.9,1991
1499,15419,scandens,14.9,8.6,1991
1500,15441,scandens,14.6,9.1,1991
1501,15476,scandens,13.6,8.6,1991
1502,15615,scandens,14.63,9.37,1991
1503,15638,scandens,14.35,9.2,1991
1504,15639,scandens,14.2,9.1,1991
1505,15658,scandens,14.45,9.85,1991
1506,15685,scandens,13.84,9.02,1991
1507,15694,scandens,13.14,9.51,1991
1508,15704,scandens,12.34,8.81,1991
1509,15718,scandens,10.75,7.77,1991
1510,15721,scandens,11.89,8.96,1991
1511,15725,scandens,11.5,8.8,1991
1512,15736,scandens,15.0,9.1,1991
1513,15760,scandens,14.34,9.01,1991
1514,15765,scandens,13.85,8.9,1991
1515,15798,scandens,13.15,8.4,1991
1516,15812,scandens,14.85,9.25,1991
1517,15817,scandens,14.77,9.73,1991
1518,15837,scandens,14.45,9.2,1991
1519,15859,scandens,14.57,8.95,1991
1520,15901,scandens,14.5,8.7,1991
1521,15986,scandens,14.17,8.72,1991
1522,16100,scandens,14.3,9.6,1991
1523,16109,scandens,14.0,9.3,1991
1524,16113,scandens,14.9,10.4,1991
1525,16183,scandens,14.0,8.9,1991
1526,16195,scandens,11.8,9.3,1991
1527,16568,scandens,12.15,8.4,1991
1528,16569,scandens,12.7,8.6,1991
1529,16585,scandens,13.7,8.9,1991
1530,16600,scandens,15.0,10.1,1991
1531,16873,scandens,14.4,8.9,1991
1532,17001,scandens,12.8,8.8,1991
1533,17004,scandens,14.05,9.25,1991
1534,17099,scandens,13.3,8.6,1991
1535,17140,scandens,13.1,8.7,1991
1536,17143,scandens,12.9,8.4,1991
1537,17153,scandens,14.8,9.5,1991
1538,17176,scandens,14.15,8.65,1991
1539,17305,scandens,14.4,9.0,1991
1540,17353,scandens,14.6,9.0,1991
1541,17374,scandens,13.0,8.5,1991
1542,17474,scandens,14.6,9.75,1991
1543,17475,scandens,13.8,9.1,1991
1544,17504,scandens,13.9,9.3,1991
1545,17505,scandens,13.6,8.6,1991
1546,17548,scandens,13.9,9.0,1991
1547,17658,scandens,14.3,9.1,1991
1548,17673,scandens,14.7,8.2,1991
1549,17674,scandens,13.5,8.1,1991
1550,17685,scandens,14.0,9.4,1991
1551,17764,scandens,13.1,9.0,1991
1552,17779,scandens,12.9,8.8,1991
1553,17788,scandens,14.6,10.1,1991
1554,17795,scandens,13.3,8.8,1991
1555,17901,scandens,14.8,9.5,1991
1556,17915,scandens,11.8,8.3,1991
1557,17930,scandens,12.8,8.7,1991
1558,17939,scandens,12.6,8.6,1991
1559,17947,scandens,11.8,7.9,1991
1560,17950,scandens,10.3,8.7,1991
1561,17953,scandens,11.1,9.5,1991
1562,17956,scandens,13.7,9.0,1991
1563,17963,scandens,13.8,8.9,1991
1564,2,fortis,9.4,8.0,1975
1565,9,fortis,9.2,8.3,1975
1566,12,fortis,9.5,7.5,1975
1567,15,fortis,9.5,8.0,1975
1568,305,fortis,11.5,9.9,1975
1569,307,fortis,11.1,8.6,1975
1570,308,fortis,9.9,8.4,1975
1571,309,fortis,11.5,9.8,1975
1572,311,fortis,10.8,9.2,1975
1573,312,fortis,11.3,9.0,1975
1574,313,fortis,11.5,9.5,1975
1575,314,fortis,11.5,8.9,1975
1576,315,fortis,9.7,8.8,1975
1577,316,fortis,10.9,9.7,1975
1578,320,fortis,10.1,8.9,1975
1579,321,fortis,10.6,8.5,1975
1580,323,fortis,9.6,8.2,1975
1581,324,fortis,10.3,9.3,1975
1582,326,fortis,10.5,9.1,1975
1583,328,fortis,10.5,8.8,1975
1584,329,fortis,10.9,9.4,1975
1585,330,fortis,11.2,9.6,1975
1586,340,fortis,9.4,8.5,1975
1587,341,fortis,10.1,8.1,1975
1588,342,fortis,9.6,8.0,1975
1589,343,fortis,10.5,9.7,1975
1590,344,fortis,9.9,8.2,1975
1591,345,fortis,9.9,8.4,1975
1592,346,fortis,9.6,7.9,1975
1593,347,fortis,10.7,9.3,1975
1594,348,fortis,11.8,10.5,1975
1595,349,fortis,10.2,9.7,1975
1596,350,fortis,10.9,9.6,1975
1597,352,fortis,9.3,7.7,1975
1598,354,fortis,11.6,9.8,1975
1599,355,fortis,11.2,9.8,1975
1600,356,fortis,10.1,8.5,1975
1601,360,fortis,10.7,9.2,1975
1602,366,fortis,11.0,10.1,1975
1603,368,fortis,10.8,9.0,1975
1604,369,fortis,10.2,9.0,1975
1605,401,fortis,10.8,9.4,1975
1606,402,fortis,10.4,8.8,1975
1607,403,fortis,11.2,9.9,1975
1608,405,fortis,11.4,9.9,1975
1609,410,fortis,10.9,8.9,1975
1610,411,fortis,10.4,9.4,1975
1611,413,fortis,9.7,8.2,1975
1612,414,fortis,10.2,8.2,1975
1613,415,fortis,9.2,8.1,1975
1614,416,fortis,10.1,8.4,1975
1615,417,fortis,11.0,10.1,1975
1616,418,fortis,10.3,8.6,1975
1617,419,fortis,10.2,8.5,1975
1618,420,fortis,11.0,9.7,1975
1619,422,fortis,11.0,10.3,1975
1620,423,fortis,10.1,8.6,1975
1621,424,fortis,10.7,9.3,1975
1622,425,fortis,10.7,8.9,1975
1623,426,fortis,11.0,9.7,1975
1624,427,fortis,12.0,10.2,1975
1625,428,fortis,11.6,10.2,1975
1626,450,fortis,9.9,8.5,1975
1627,451,fortis,10.8,8.8,1975
1628,452,fortis,10.5,8.9,1975
1629,453,fortis,10.0,8.7,1975
1630,454,fortis,9.6,9.3,1975
1631,455,fortis,11.0,9.7,1975
1632,456,fortis,10.2,9.6,1975
1633,457,fortis,9.7,7.85,1975
1634,458,fortis,11.1,9.6,1975
1635,459,fortis,10.4,9.3,1975
1636,461,fortis,11.1,9.8,1975
1637,462,fortis,10.2,8.8,1975
1638,463,fortis,10.3,9.1,1975
1639,465,fortis,9.9,9.0,1975
1640,466,fortis,11.0,10.4,1975
1641,468,fortis,10.8,9.0,1975
1642,473,fortis,10.5,9.5,1975
1643,474,fortis,10.5,8.7,1975
1644,475,fortis,11.2,9.6,1975
1645,476,fortis,11.2,9.4,1975
1646,477,fortis,11.7,9.5,1975
1647,479,fortis,10.5,8.6,1975
1648,501,fortis,10.5,9.9,1975
1649,502,fortis,11.2,9.4,1975
1650,503,fortis,10.0,9.1,1975
1651,504,fortis,10.4,8.6,1975
1652,505,fortis,10.8,9.3,1975
1653,506,fortis,11.1,9.2,1975
1654,507,fortis,10.3,8.8,1975
1655,509,fortis,11.1,9.2,1975
1656,510,fortis,9.8,8.3,1975
1657,511,fortis,10.5,8.8,1975
1658,512,fortis,11.0,9.4,1975
1659,513,fortis,11.2,10.4,1975
1660,514,fortis,9.8,8.5,1975
1661,515,fortis,9.8,7.9,1975
1662,516,fortis,9.8,7.9,1975
1663,517,fortis,10.3,10.1,1975
1664,518,fortis,11.3,9.8,1975
1665,519,fortis,10.0,8.3,1975
1666,520,fortis,11.1,9.4,1975
1667,521,fortis,10.0,9.0,1975
1668,522,fortis,10.3,8.4,1975
1669,524,fortis,10.2,8.7,1975
1670,526,fortis,10.4,9.2,1975
1671,527,fortis,11.0,9.5,1975
1672,528,fortis,11.5,10.1,1975
1673,529,fortis,11.8,9.8,1975
1674,560,fortis,10.2,8.5,1975
1675,561,fortis,11.7,10.2,1975
1676,563,fortis,10.1,8.6,1975
1677,564,fortis,10.2,9.3,1975
1678,565,fortis,9.8,8.7,1975
1679,566,fortis,10.6,8.9,1975
1680,567,fortis,10.0,8.4,1975
1681,572,fortis,12.1,10.3,1975
1682,574,fortis,11.1,9.9,1975
1683,576,fortis,10.5,8.9,1975
1684,578,fortis,10.0,9.1,1975
1685,579,fortis,10.2,8.6,1975
1686,601,fortis,9.7,7.8,1975
1687,602,fortis,10.0,8.6,1975
1688,603,fortis,10.7,9.5,1975
1689,604,fortis,11.0,9.5,1975
1690,605,fortis,10.9,10.2,1975
1691,606,fortis,10.5,9.1,1975
1692,607,fortis,10.9,9.7,1975
1693,608,fortis,10.7,9.4,1975
1694,609,fortis,11.9,10.5,1975
1695,610,fortis,10.2,9.0,1975
1696,611,fortis,10.5,9.8,1975
1697,615,fortis,11.2,10.0,1975
1698,616,fortis,10.7,9.6,1975
1699,617,fortis,10.3,9.6,1975
1700,618,fortis,11.6,9.9,1975
1701,619,fortis,10.5,9.3,1975
1702,620,fortis,10.9,9.6,1975
1703,621,fortis,9.8,7.6,1975
1704,622,fortis,10.9,9.2,1975
1705,623,fortis,10.3,8.8,1975
1706,624,fortis,11.7,10.1,1975
1707,625,fortis,11.0,8.9,1975
1708,626,fortis,9.8,9.5,1975
1709,627,fortis,10.4,8.2,1975
1710,628,fortis,10.8,9.7,1975
1711,629,fortis,11.0,9.8,1975
1712,670,fortis,10.6,9.3,1975
1713,671,fortis,11.3,9.8,1975
1714,672,fortis,10.1,8.8,1975
1715,673,fortis,11.4,10.1,1975
1716,674,fortis,11.8,10.5,1975
1717,675,fortis,9.9,8.6,1975
1718,676,fortis,11.0,9.7,1975
1719,677,fortis,10.8,10.0,1975
1720,678,fortis,11.3,9.7,1975
1721,679,fortis,11.1,10.5,1975
1722,680,fortis,11.0,10.4,1975
1723,681,fortis,10.4,9.2,1975
1724,682,fortis,9.1,8.1,1975
1725,683,fortis,10.8,9.4,1975
